SYMBOL,CompanyName,compId,compFormat,linkId
ASCENTEXIMI,Ascent Exim (I),4672,ascent-exim-i,ascent-exim-i-4672
UGROCAPITAL,Ugro Capital,4673,ugro-capital,ugro-capital-4673
CRESTANI,Crest Animation,4674,crest-animation,crest-animation-4674
EASTSUGIND,Eastern Sugar,4675,eastern-sugar,eastern-sugar-4675
HINAFILINDIA,Hinafil India,4677,hinafil-india,hinafil-india-4677
INDOGERMAPRODS,Indo-Germa Prods,4678,indo-germa-prods,indo-germa-prods-4678
KEI,KEI Inds.,4679,kei-inds,kei-inds-4679
KZLEASING,K Z Leasing,4680,k-z-leasing,k-z-leasing-4680
MAHAANFOODS,Mahaan Foods,4681,mahaan-foods,mahaan-foods-4681
NATCOPHARM,Natco Pharma,4684,natco-pharma,natco-pharma-4684
NOELAGRITECH,Noel Agritech,4685,noel-agritech,noel-agritech-4685
PASUPATIFINCAP,Pasupati Fincap,4686,pasupati-fincap,pasupati-fincap-4686
UNIONQUALPLA,Union Qual. Pla.,4688,union-qual-pla,union-qual-pla-4688
USHDEVINT,Ushdev Intl.,4689,ushdev-intl,ushdev-intl-4689
ATHENAFINSERV,Athena Fin. Serv,4690,athena-fin-serv,athena-fin-serv-4690
SHALIBHADRAFIN,Shalibhadra Fin.,4692,shalibhadra-fin,shalibhadra-fin-4692
ABIRAMIFIN,Abirami Fin.,4693,abirami-fin,abirami-fin-4693
SUNCITYINDS,Suncity Inds.,4695,suncity-inds,suncity-inds-4695
SRINACHACOTT,Sri Nacha. Cott.,4696,sri-nacha-cott,sri-nacha-cott-4696
EMERGYPHAARMA,Emergy Phaarma,4697,emergy-phaarma,emergy-phaarma-4697
DYNAMICINDS,Dynamic Inds.,4698,dynamic-inds,dynamic-inds-4698
PANAMAPET,Panama Petrochem,4699,panama-petrochem,panama-petrochem-4699
GREENPLY,Greenply Inds.,4701,greenply-inds,greenply-inds-4701
PSL,PSL,4702,psl,psl-4702
AMICOMPUTERS,Ami Computers,4703,ami-computers,ami-computers-4703
BALPHARMA,Bal Pharma,4704,bal-pharma,bal-pharma-4704
MEHTAHOUSGFIN,Mehta Housg. Fin,4706,mehta-housg-fin,mehta-housg-fin-4706
MEHTASECURITIES,Mehta Securities,4707,mehta-securities,mehta-securities-4707
RAGHUNATHINTL,Raghunath Intl.,4708,raghunath-intl,raghunath-intl-4708
RAJESWARIINFRA,Rajeswari Infra.,4709,rajeswari-infra,rajeswari-infra-4709
DAICHIKARK,Dai-ichi Karkari,4711,dai-ichi-karkari,dai-ichi-karkari-4711
DRAGARWALSEYE,Dr Agarwal's Eye,4712,dr-agarwal-s-eye,dr-agarwal-s-eye-4712
SEVENHILLINDS,Seven Hill Inds.,4714,seven-hill-inds,seven-hill-inds-4714
